,concentration,EP_area,ISTD_area,peak_ratio,RRF
0,30.0,391.4,368.8,1.061279826464208,0.565355135411344
1,15.0,195.7,391.1,0.5003835336231143,0.5995401124169648
2,7.5,94.9,383.8,0.24726420010422095,0.6066385669125395
3,3.75,47.0,384.5,0.1222366710013004,0.613563829787234
4,1.875,24.4,368.8,0.06616052060737526,0.5668032786885246
5,0.9375,13.9,388.1,0.03581551146611698,0.5235161870503596
6,0.46875,7.9,397.0,0.019899244332493703,0.47112341772151894
7,0.046875,3.7,391.9,0.009441183975503956,0.09929898648648647
