,concentration,VP_area,ISTD_area,peak_ratio,RRF
0,0.03125,0.41,394.5,0.0010392902408111534,0.6013719512195123
1,0.3125,1.6,392.4,0.004077471967380225,1.5328125
2,3.125,27.2,394.4,0.06896551724137931,0.90625
3,6.25,64.7,412.5,0.15684848484848485,0.7969474497681607
4,12.5,136.0,382.6,0.35546262415054886,0.7033088235294117
5,25.0,294.0,377.7,0.778395552025417,0.6423469387755102
6,50.0,590.8,366.9,1.610248023984737,0.6210223425863236
